Participant,Experiment_Duration,Date,Time,Browser,Mobile,Platform,Screen_Width,Screen_Height,Source,Gender,Age,Education,Student,Discipline,Ethnicity,Country,SexualOrientation,SexualStatus,StimuliChoice,Bait_Duration,BAIT_ImagesIssues,BAIT_ImageDistinctionBad,BAIT_Worry,BAIT_InterestingAI,BAIT_VideosRealistic,BAIT_ImagesRealistic,BAIT_TextDifferentiation,BAIT_ImpersonalAI,BAIT_TrustHuman,BAIT_Benefit,BAIT_ContentDetection,BAIT_UniqueHuman,BAIT_ImageDistinctionEasy,BAIT_ExpertAI,BAIT_Exciting,BAIT_PreferenceHuman,BAIT_EnvironmentReal,BAIT_ImitatingReality,BAIT_InnovativeAI,BAIT_Dangerous,BAIT_VideosIssues,BAIT_EmotionalHuman,BAIT_UnderstandingAI,BAIT_UserAI,BAIT_TextIssues,BAIT_TextRealistic,COPS_Duration,SexualActivity,COPS_Frequency_2,Feedback_NoFacesAttractive,Feedback_SomeFacesAttractive,Feedback_AIMoreAttractive,Feedback_AILessAttractive,Feedback_DiffObvious,Feedback_DiffSubtle,Feedback_DiffNone,Feedback_LabelsIncorrect,Feedback_LabelsReversed,Feedback_AllReal,Feedback_AllFake,Feedback_AllRealConfidence,Feedback_AllFakeConfidence,Feedback_Enjoyment,Feedback_Text,Instruction_Duration1,Instruction_Duration2,Eyetracking_Validation1_Mean,Eyetracking_Validation1_Max,Eyetracking_Validation1_Min,Eyetracking_Validation1_Distance,Eyetracking_Validation2_Mean,Eyetracking_Validation2_Max,Eyetracking_Validation2_Min,Eyetracking_Validation2_Distance
S012,24.53966666666667,04/02/2025,12:17:31,chrome,False,Windows 10,1536.0,776.0,prolific,Female,24,Bachelor,False,"Business, Economics",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.9021166666666667,4.0,5.0,1.0,6.0,6.0,6.0,6.0,0.0,3.0,4.0,1.0,5.0,1.0,2.0,6.0,3.0,5.0,5.0,6.0,3.0,5.0,1.0,4.0,6.0,1.0,4.0,0.2843,within the last month,I watched pornography multiple times a week,False,True,True,False,False,False,False,True,False,False,False,,,4,,131.895,21.343,36.911065653613875,89.83050847457628,0.0,34.54306953884466,3.505747126436782,15.0,0.0,100.17811222500113
S013,28.197633333333332,04/02/2025,12:21:28,chrome,False,Windows 10,1600.0,731.0,prolific,Male,23,Bachelor,True,Medicine,Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.5442166666666663,0.0,4.0,1.0,3.0,4.0,6.0,4.0,3.0,3.0,6.0,0.0,4.0,0.0,4.0,6.0,3.0,6.0,6.0,5.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.31126666666666664,within the last 3 days,I watched pornography weekly,False,True,True,False,False,False,True,False,False,False,False,,,4,I enjoyed the experiment and i am fully willing to participate in future experiments with you,140.483,38.125,5.315554740957967,16.129032258064516,0.0,151.9719763845743,10.807559746519702,30.0,0.0,201.62374403942422
S014,38.26635,04/02/2025,12:37:00,chrome,False,Windows 10,500.0,568.0,prolific,Male,25,Bachelor,True,"Business, Economics",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.1137666666666663,4.0,3.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,4.0,3.0,6.0,5.0,5.0,0.4044833333333333,within the last 3 days,I watched pornography weekly,False,True,True,False,True,False,False,False,False,False,True,,3.0,4,It was good,53.868,26.341,0.0,0.0,0.0,79.03726298742134,0.0,0.0,0.0,80.26403041665912
S015,20.212466666666668,04/02/2025,15:05:40,chrome,False,Chrome OS,1536.0,695.0,prolific,Female,59,High school,False,Prefer not to say,White,United Kingdom,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.4017333333333333,2.0,3.0,5.0,2.0,6.0,6.0,4.0,5.0,5.0,3.0,2.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,6.0,4.0,2.0,5.0,3.0,3.0,3.0,5.0,0.26903333333333335,less than 24h ago,I haven't watched pornography in the past 30 days,False,True,False,False,False,False,False,False,False,False,False,,,4,,64.914,28.043,0.0,0.0,0.0,148.41898907617264,1.5241682360326427,7.4074074074074066,0.0,180.68229570156038
S016,18.82315,04/02/2025,15:26:30,chrome,False,Windows 10,1536.0,730.0,prolific,Male,30,High school,False,Prefer not to say,White,United Kingdom,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.5270000000000001,0.0,3.0,6.0,0.0,4.0,4.0,4.0,4.0,6.0,2.0,1.0,6.0,3.0,0.0,5.0,6.0,3.0,3.0,1.0,5.0,3.0,4.0,0.0,0.0,3.0,4.0,0.22196666666666667,less than 24h ago,I watched pornography daily,False,True,False,False,False,False,False,False,False,True,False,2.0,,2,,69.628,16.838,16.059322033898304,65.0,0.0,64.31922407282944,7.118644067796609,22.033898305084744,0.0,66.83217042030189
S017,29.839316666666665,04/02/2025,16:33:08,chrome,False,Windows 10,1366.0,641.0,prolific,Female,28,High school,False,Prefer not to say,Mixed,South Africa,Bisexual,In a relationship and open to dating,Women (and heterosexual couples),2.3015666666666665,4.0,2.0,5.0,0.0,2.0,2.0,2.0,6.0,5.0,1.0,3.0,6.0,4.0,1.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,6.0,4.0,1.0,6.0,1.0,0.26945,within the last week,I watched pornography once in the past 30 days,False,True,False,False,False,False,True,True,False,False,False,,,4,,144.882,46.006,1.5062388591800357,6.0606060606060606,0.0,93.61019648048746,3.048654244306418,17.391304347826086,0.0,146.36281141053374
S018,31.822533333333336,04/02/2025,16:36:54,chrome,False,Windows 10,1366.0,641.0,prolific,Female,24,High school,False,Prefer not to say,Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,2.50665,3.0,2.0,3.0,5.0,4.0,5.0,3.0,5.0,6.0,6.0,5.0,5.0,4.0,3.0,6.0,5.0,4.0,4.0,6.0,2.0,4.0,6.0,5.0,5.0,6.0,4.0,0.5914833333333332,within the last 3 days,I watched pornography multiple times a week,False,True,False,False,False,False,True,False,False,False,False,,,4,,113.223,37.346,17.62237762237762,90.9090909090909,0.0,65.33406915206437,8.095238095238097,58.333333333333336,0.0,77.81746560036119
S019,42.460816666666666,04/02/2025,16:40:15,chrome,False,Windows 10,500.0,588.0,prolific,Male,24,Bachelor,True,"Engineering, Computer Science",Black,South Africa,Homosexual,In a relationship and not open to dating,Prefer not to say,3.9040833333333333,2.0,1.0,3.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,1.0,3.0,2.0,2.0,6.0,1.0,6.0,5.0,6.0,6.0,3.0,4.0,5.0,3.0,4.0,6.0,0.41006666666666663,within the last week,I watched pornography multiple times a week,False,True,False,False,False,False,True,False,False,False,False,,,4,"AI photo has a dreamy like quality , and photo graphs are more grounded in reality but it can also be difficult to differentiate ",119.786,59.66,2.9543478260869565,13.043478260869565,0.0,79.34734116246901,2.2051282051282053,11.538461538461538,0.0,120.56632917238328
S020,24.273483333333335,05/02/2025,12:31:06,chrome,False,Mac OS,1693.0,892.0,prolific,Male,29,Bachelor,False,Other,White,United States,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.6749666666666667,2.0,2.0,6.0,0.0,2.0,6.0,6.0,6.0,6.0,1.0,4.0,6.0,5.0,2.0,3.0,6.0,4.0,3.0,0.0,6.0,5.0,6.0,4.0,4.0,1.0,5.0,0.2665166666666667,less than 24h ago,I watched pornography multiple times a week,False,True,False,True,False,False,False,False,False,False,False,,,4,,57.259,22.092,9.661016949152543,23.728813559322035,0.0,79.22877036501791,9.830508474576272,28.8135593220339,0.0,78.83542477037574
S021,20.609883333333336,05/02/2025,18:16:13,firefox,False,Linux,1920.0,964.0,prolific,Male,35,Bachelor,False,"Biology, Chemistry, Physics",White,United Kingdom,Heterosexual,Single and open to dating,Prefer not to say,1.5926833333333335,2.0,3.0,1.0,3.0,4.0,5.0,2.0,3.0,3.0,6.0,4.0,6.0,3.0,4.0,6.0,3.0,5.0,4.0,6.0,1.0,4.0,6.0,4.0,6.0,4.0,3.0,0.17326666666666668,less than 24h ago,I watched pornography multiple times a day,False,True,False,False,False,False,True,True,False,True,False,4.0,,4,no,79.115,21.021,20.0,100.0,0.0,0.011864406779659475,20.0,100.0,0.0,0.0
