"Participant","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Source","Gender","Age","Education","Student","Discipline","Ethnicity","Country","SexualOrientation","SexualStatus","StimuliChoice","Bait_Duration","BAIT_InterestingAI","BAIT_ImageDistinctionBad","BAIT_ImitatingReality","BAIT_UnderstandingAI","BAIT_Benefit","BAIT_ExpertAI","BAIT_InnovativeAI","BAIT_ImageDistinctionEasy","BAIT_UserAI","BAIT_ImpersonalAI","BAIT_Dangerous","BAIT_TextIssues","BAIT_ImagesIssues","BAIT_Worry","BAIT_TextDifferentiation","BAIT_Exciting","BAIT_UniqueHuman","BAIT_ImagesRealistic","BAIT_VideosIssues","BAIT_TrustHuman","BAIT_PreferenceHuman","BAIT_ContentDetection","BAIT_VideosRealistic","BAIT_TextRealistic","BAIT_EnvironmentReal","BAIT_EmotionalHuman","COPS_Duration","SexualActivity","COPS_Frequency","Feedback_NoFacesAttractive","Feedback_SomeFacesAttractive","Feedback_AIMoreAttractive","Feedback_AILessAttractive","Feedback_NoImagesArousing","Feedback_SomeImagesArousing","Feedback_AIMoreArousing","Feedback_AILessArousing","Feedback_DiffObvious","Feedback_DiffSubtle","Feedback_DiffNone","Feedback_LabelsIncorrect","Feedback_LabelsReversed","Feedback_AllReal","Feedback_AllFake","Feedback_AllRealConfidence","Feedback_AllFakeConfidence","Feedback_Enjoyment","Feedback_Text","Instruction_Duration1","Instruction_Duration2","Eyetracking_Validation1_Mean","Eyetracking_Validation1_Max","Eyetracking_Validation1_Min","Eyetracking_Validation1_Distance","Eyetracking_Validation2_Mean","Eyetracking_Validation2_Max","Eyetracking_Validation2_Min","Eyetracking_Validation2_Distance","version","Screen_Size"
"S054",31.0265,"10/02/2025","19:33:50","chrome","False","Windows 10",1355,633,"prolific","Male",32,"High school","False","Prefer not to say","Black","South Africa","Heterosexual","In a relationship and open to dating","Prefer not to say",3.70941666666667,4,2,6,6,6,4,6,5,5,5,6,5,4,6,5,6,6,6,5,3,6,4,5,6,5,0,0.613233333333333,"within the last week","4. I viewed pornography multiple times a week","False","True","True","False","False","False","False","False","False","False","True","False","False","True","False",4,NA,4,"none",163.068,52.623,2.16470588235294,9.80392156862745,0,63.2670640573424,3.69577667946611,10.2040816326531,0,73.7704823064774,"old",926.129040684936
"S055",16.35035,"10/02/2025","19:39:52","chrome","False","Windows 10",1536,730,"prolific","Male",21,"Bachelor","True","Business, Economics","South Asian","South Africa","Heterosexual","Single and not open to dating","Prefer not to say",0.808483333333333,5,5,5,5,4,4,3,5,4,5,1,5,5,5,5,4,3,5,5,4,5,5,5,4,5,4,0.36695,"within the last month","0. I haven't viewed pornography in the past 30 days","False","False","True","False","False","False","False","False","False","False","True","False","False","False","False",NA,NA,3,"",16.981,7.21,22.1960463622757,41.6666666666667,1.78571428571429,67.2430932309114,18.7986366380938,47.1698113207547,0,63.6081198007899,"old",1058.90509489756
"S056",34.83105,"10/02/2025","19:49:10","firefox","False","Linux",980,1855,"prolific","Male",23,"Bachelor","True","Business, Economics","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",2.95295,6,0,6,6,6,6,6,4,6,4,0,6,3,0,0,6,4,6,6,4,6,6,6,6,6,6,0.376933333333333,"within the last 3 days","4. I viewed pornography multiple times a week","False","True","True","False","False","False","False","False","False","False","True","False","True","False","False",NA,NA,4,"No",58.463,15.444,0,0,0,21.1934647638293,4.72222222222222,25,0,26.529673367099,"old",1348.29521989808
"S058",48.7094166666667,"10/02/2025","23:10:33","chrome","False","Windows 10",1366,641,"prolific","Female",28,"Master","False","Biology, Chemistry, Physics","Prefer not to say","Prefer not to say","Heterosexual","In a relationship and not open to dating","Prefer not to say",5.32688333333333,5,5,6,5,5,5,5,0,6,0,1,2,4,1,3,6,1,6,3,4,3,3,6,3,6,2,0.5348,"within the last week","3. I viewed pornography weekly","False","True","True","False","False","False","False","False","False","False","True","True","False","True","False",4,NA,4,"",165.98,142.171,0,0,0,101.452177162531,2.53846153846154,15.3846153846154,0,127.343835458482,"old",935.738211253554
"S059",35.64475,"11/02/2025","12:46:44","chrome","False","Windows 10",1536,730,"prolific","Male",24,"Bachelor","False","Business, Economics","Black","South Africa","Heterosexual","Single and open to dating","Prefer not to say",3.4333,4,4,5,5,4,3,4,4,4,6,3,6,5,4,3,5,4,4,6,5,6,3,3,3,5,5,0.440216666666667,"within the last 3 days","3. I viewed pornography weekly","False","True","True","False","False","False","False","False","False","False","True","True","False","True","False",3,NA,4,"",97.823,13.035,21.7681352296202,64.5161290322581,0,54.9659750620543,24.9077843015552,74.1935483870968,0,51.8086267842991,"old",1058.90509489756
"S060",28.8854666666667,"11/02/2025","12:47:02","chrome","False","Windows 10",1366,633,"prolific","Female",25,"High school","True","Prefer not to say","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",1.6427,3,6,5,2,6,4,4,0,5,5,1,4,2,5,3,6,3,3,4,4,5,2,3,3,5,4,0.4806,"within the last week","0. I haven't viewed pornography in the past 30 days","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False",NA,NA,4,"",149.729,46.546,1.76811594202899,6.66666666666667,0,79.4951105759083,8.42846459904885,21.0526315789474,0,129.504087697682,"old",929.880637501395
"S061",26.3759833333333,"11/02/2025","12:48:02","chrome","False","Windows 10",1920,957,"prolific","Male",30,"High school","True","Prefer not to say","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",2.87668333333333,2,5,4,5,5,3,2,3,5,3,1,4,5,2,6,5,6,4,4,3,3,5,4,6,3,4,0.5405,"within the last month","2. I viewed pornography twice in the past 30 days","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,NA,3,"",161.27,40.316,3.69360902255639,22.8070175438596,0,116.154852583059,1.51515151515152,9.09090909090909,0,131.555288999384,"old",1355.52203965852
"S062",38.3476166666667,"11/02/2025","12:53:06","chrome","False","Windows 10",1366,645,"prolific","Male",22,"High school","True","Prefer not to say","Black","South Africa","Heterosexual","Single and not open to dating","Prefer not to say",2.4676,2,3,5,1,3,0,6,0,6,3,6,6,0,6,0,6,2,6,6,4,4,4,2,0,6,0,0.344366666666667,"less than 24h ago","6. I viewed pornography multiple times a day","False","True","True","False","False","False","False","False","False","False","True","False","False","True","False",2,NA,4,"This was quite a pleasurable experience, I must say. I also have to say that if there were truly AI-generated images here, then I'm blown away by how good they look. Maybe it's because I was only able to see them for a brief second, but I absolutely couldn't tell if there were AI ones too. ",218.36,65.056,9.22108262108262,29.1666666666667,0,82.6000600548661,16.4727053140097,77.7777777777778,0,53.7077290682971,"old",938.653290624392
"S063",28.2044666666667,"11/02/2025","12:55:31","edge-chromium","False","Windows 10",1232,594,"prolific","Female",31,"Bachelor","False","Business, Economics","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",3.25926666666667,2,3,5,0,5,0,6,2,2,6,0,2,4,3,6,6,5,6,6,4,3,2,6,4,5,6,0.39815,"within the last 3 days","0. I haven't viewed pornography in the past 30 days","False","True","True","False","False","False","False","False","False","False","True","False","True","True","False",3,NA,4,"",73.459,42.181,0,0,0,71.2276915619157,0.476190476190476,4.76190476190476,0,97.1180581037676,"old",855.457772189838
"S064",51.4697833333333,"11/02/2025","12:56:21","chrome","False","Windows 10",1366,695,"prolific","Female",32,"Bachelor","True","Political Science, Law","Black","South Africa","Heterosexual","In a relationship and open to dating","Prefer not to say",4.61365,4,4,5,5,5,4,5,3,5,3,1,2,2,4,5,5,3,5,4,4,3,2,4,5,5,4,0.738216666666667,"within the last week","2. I viewed pornography twice in the past 30 days","False","True","True","False","False","False","False","False","False","False","False","True","False","True","False",3,NA,4,"It would be nice to slow down the speed of the pictures to have a better look at it",212.005,86.503,5,50,0,60.060484181392,0,0,0,7.49437288904148,"old",974.356197701847
