"ID","Category","Nr","Orientation","Homo_Women_Valence","Homo_Women_Arousal","Homo_Men_Valence","Homo_Men_Arousal","Hetero_Women_Valence","Hetero_Women_Arousal","Hetero_Men_Valence","Hetero_Men_Arousal","Width","Height","Luminance","Contrast","JPEG_size80","LABL","LABA","LABB","Entropy","Description","total_arousal","total_valence"
"Male_couple_002_h.jpg","Male Couple",2,"h",6.25,3.55,7.8,6.35,4.65,4.05,3.65,4.1,1600,1200,89.4837,38.3564,205911,37.4875,-0.2515,6.5637,7.179,NA,8.15,8.3
"Male_couple_003_v.jpg","Male Couple",3,"v",6.2,3.55,7.05,4.95,5.25,4.25,3.75,3.8,1200,1600,163.458,52.8548,171950,66.5166,2.7684,-4.2231,7.4467,NA,8.05,9
"Male_couple_006_h.jpg","Male Couple",6,"h",6.25,3.55,7.6,5.35,5.6,4,4.65,2.9,1600,1200,143.2681,64.1905,343161,58.501,3.4827,6.3648,7.5899,NA,6.9,10.25
"Male_couple_007_v.jpg","Male Couple",7,"v",5.05,3.4,7.65,5.85,5.25,4.4,4.2,4.05,1200,1600,163.6007,34.7375,179516,67.2865,-0.1492,-1.6924,6.7861,NA,8.45,9.45
"Male_couple_009_v.jpg","Male Couple",9,"v",3.65,3.7,6.4,5.3,3.7,4.8,2.35,5.4,1200,1600,109.8661,55.2816,260182,46.9517,17.3454,23.3053,7.6829,NA,10.2,6.05
"Male_couple_010_h.jpg","Male Couple",10,"h",4.55,3.1,7.15,4.9,4.35,4.6,3.1,4,1600,1200,129.8574,55.7967,265521,53.8929,6.0205,3.7748,7.6787,NA,8.6,7.45
"Male_couple_011_v.jpg","Male Couple",11,"v",4.65,2.9,7,5.7,4.4,4.55,3.7,3.95,1200,1600,64.3249,80.2244,166041,26.2942,6.009,10.2511,6.72,NA,8.5,8.1
"Male_couple_012_v.jpg","Male Couple",12,"v",5.35,2.65,7.5,6,5.2,3.85,3.9,3.7,1200,1600,122.2359,55.8982,356017,51.6895,10.2702,12.2373,7.7737,NA,7.55,9.1
"Male_couple_013_h.jpg","Male Couple",13,"h",6.6,4.1,7.95,5.85,6.05,4.1,4.6,3.55,1600,1200,134.1154,73.0222,231525,55.2798,-2.2027,4.6598,7.4902,NA,7.65,10.65
"Male_couple_014_h.jpg","Male Couple",14,"h",4.6,3,7.4,6.2,4.15,5.15,2.6,5.6,1600,1200,106.9491,74.69,288191,44.8562,-0.1825,1.145,7.445,NA,10.75,6.75
"Male_couple_015_v.jpg","Male Couple",15,"v",3.2,4.8,6.8,5.65,4.2,5.95,3.15,5.6,1200,1600,103.9613,48.3338,111341,46.9837,22.1316,53.6395,7.3437,NA,11.55,7.35
"Male_couple_016_h.jpg","Male Couple",16,"h",5.55,3,7.95,6.85,4.7,4.25,3.25,4.1,1600,1200,104.9909,61.8847,199792,43.5508,6.7025,9.6391,7.7563,NA,8.35,7.95
"Male_couple_018_h.jpg","Male Couple",18,"h",6.7,3.9,7.55,4.8,5.75,3.95,4.5,2.8,1600,1200,98.8075,39.8044,528281,41.753,-9.6718,19.8907,7.2262,NA,6.75,10.25
"Male_couple_019_h.jpg","Male Couple",19,"h",3.85,4.05,6.55,5,3.85,4.8,2.85,5.4,1600,1200,115.2446,73.8637,211380,47.8506,8.9456,4.4504,7.513,NA,10.2,6.7
"Male_couple_020_h.jpg","Male Couple",20,"h",3.45,4.75,5.15,5.6,3.4,5.5,1.85,6.95,1600,1200,102.4761,61.1341,233335,42.6955,10.24,4.9908,7.5227,NA,12.45,5.25
"Male_couple_021_h.jpg","Male Couple",21,"h",6.35,3.1,7.8,5.65,5.85,4.4,4,3.65,1600,1200,108.2571,51.09,196656,44.8661,1.8777,-6.5466,7.5663,NA,8.05,9.85
"Male_couple_022_v.jpg","Male Couple",22,"v",4.65,3.9,6.7,5.9,4.65,5.25,3.35,4.85,1200,1600,60.727,34.2341,140757,26.7492,-8.3328,-6.3093,6.8234,NA,10.1,8
"Male_couple_023_v.jpg","Male Couple",23,"v",3.45,4.6,7.15,6.65,4.35,5.3,1.95,6.6,1200,1600,46.7429,46.5517,283516,20.6063,14.5116,11.3962,6.4646,NA,11.9,6.3
"Male_couple_024_h.jpg","Male Couple",24,"h",4.55,3.1,7.2,5.6,6.55,5.3,4.45,4.15,1600,1200,100.8684,66.8073,247201,41.6405,2.9857,6.8673,7.6836,NA,9.45,11
"Male_couple_025_v.jpg","Male Couple",25,"v",3.9,3.05,7.4,5.9,4.8,5,2.4,5.15,1200,1600,64.9355,55.1917,142199,27.8636,12.7703,19.4808,7.2299,NA,10.15,7.2
"Male_couple_029_h.jpg","Male Couple",29,"h",5.5,2.65,7.25,5.35,4.65,3.75,3.6,3.6,1600,1200,46.8055,68.3009,184235,19.0595,5.7954,6.5674,5.8536,NA,7.35,8.25
"Male_couple_033_v.jpg","Male Couple",33,"v",5.35,3.15,7.3,4.95,5.65,3.95,3.8,3.95,1200,1600,120.5496,61.1756,157560,51.1408,16.5554,25.2587,7.8507,NA,7.9,9.45
"Male_couple_037_v.jpg","Male Couple",37,"v",5.55,2.7,7.6,5.75,4.95,3.8,3.9,2.95,1200,1600,105.7932,76.1542,265975,43.2802,5.2379,2.6962,7.6745,NA,6.75,8.85
"Male_couple_044_h.jpg","Male Couple",44,"h",5.25,3.45,7.15,4.75,5.05,4,3.15,4.45,1600,1200,50.8484,49.1775,158041,20.6794,4.4175,2.1516,6.941,NA,8.45,8.2
"Male_couple_047_h.jpg","Male Couple",47,"h",6,3.1,7.5,5.2,4.95,4.1,3.65,3.55,1600,1200,93.8279,67.1104,186038,38.6953,6.7433,8.1226,7.619,NA,7.65,8.6
"Female_couple_002_v.jpg","Female Couple",2,"v",7.7,5.85,5.2,3.3,5.05,4.15,6.8,5.75,1200,1600,146.0327,75.185,160622,59.204,2.4982,7.1034,7.6205,NA,9.9,11.85
"Female_couple_003_h.jpg","Female Couple",3,"h",7.45,5.65,5.9,2.85,5.85,3.95,6.3,4.9,1600,1200,99.3429,67.7808,314154,40.8859,6.1159,4.937,7.7539,NA,8.85,12.15
"Female_couple_008_v.jpg","Female Couple",8,"v",7.05,5,5.7,3.2,4.9,4,7,6,1200,1600,186.7866,60.5182,182179,75.3289,2.4955,12.0605,7.2475,NA,10,11.9
"Female_couple_009_v.jpg","Female Couple",9,"v",6.1,5.3,4.55,3.95,4.1,4.85,6.6,6.15,1200,1600,174.4187,66.3908,206233,70.9899,10.8028,13.6005,7.6796,NA,11,10.7
