"Participant","Item","Order1","RT1","Condition","Duration1","ISI1","Cue_Color","Cue_Duration","Arousal","Valence","Enticement","Order2","RT2","Duration2","ISI2","Realness","Type","Category","Orientation","Norms_Arousal","Norms_Valence","Luminance","Contrast","Entropy","Complexity","Red","Green","Sex","SexualOrientation","Relevance"
"S384","Female_005_v",1,13.767,"AI-Generated",2500,500,"green",1250,0.14,-0.36,0.21,2,4.419,1000,500,0.79,"Erotic","Female","v",4.65,4.55,44.8525,70.3649,7.6863,270082,11.7249,10.9722,"Male","Heterosexual","Relevant"
"S384","Faces_330_v",2,12.567,"AI-Generated",2500,500,"green",1250,0,0.16,0.3,19,2.409,1000,500,1,"Non-erotic","Faces","v",4.25,6.9,30.0082,41.7458,7.2395,325837,-0.4702,0.9357,"Male","Heterosexual","Non-erotic"
"S384","Faces_335_h",3,9.74,"Photograph",2500,500,"blue",1250,0,0.28,0,30,2.187,1000,500,1,"Non-erotic","Faces","h",3.35,6.8,38.8455,76.9787,7.6725,194229,0.9408,3.6752,"Male","Heterosexual","Non-erotic"
"S384","Female_008_v",4,9.64,"AI-Generated",2500,500,"green",1250,0.77,1,0.78,10,2.322,1000,500,0.85,"Erotic","Female","v",3.75,5.45,52.8173,72.8334,7.4938,155798,1.2756,4.492,"Male","Heterosexual","Relevant"
"S384","Faces_351_h",5,7.776,"AI-Generated",2500,500,"green",1250,0,1,0.69,44,3.01,1000,500,0.17,"Non-erotic","Faces","h",4.65,7.05,35.4262,73.7229,7.3716,170646,2.8311,6.4751,"Male","Heterosexual","Non-erotic"
"S384","Male_001_v",6,4.6,"AI-Generated",2500,500,"green",1250,0,-1,0,48,2.095,1000,500,1,"Erotic","Male","v",4.55,5.7,60.0397,72.0716,7.7395,265152,4.5447,6.449,"Male","Heterosexual","Irrelevant"
"S384","People_187_h",7,11.244,"AI-Generated",2500,500,"green",1250,0,1,0.72,55,1.733,1000,500,1,"Non-erotic","People","h",4.75,7.35,48.6317,72.6593,7.9149,445830,-1.5361,3.8181,"Male","Heterosexual","Non-erotic"
"S384","People_172_v",8,5.946,"Photograph",2500,500,"blue",1250,0,1,0.74,54,3.162,1000,500,0.73,"Non-erotic","People","v",5.15,7.7,49.9957,56.3597,7.6186,359216,-8.8494,0.6884,"Male","Heterosexual","Non-erotic"
"S384","Male_002_v",9,5.693,"AI-Generated",2500,500,"green",1250,0.62,0.32,0.63,26,3.277,1000,500,0.89,"Erotic","Male","v",4.65,6,42.743,65.8985,7.7155,221793,11.6582,-3.6073,"Male","Heterosexual","Irrelevant"
"S384","Female_020_v",10,12.476,"AI-Generated",2500,500,"green",1250,0.74,-0.12,0.44,49,1.782,1000,500,0.67,"Erotic","Female","v",4.2,4.9,50.7307,36.7955,7.0191,173444,4.4367,4.5166,"Male","Heterosexual","Relevant"
"S384","Female_022_h",11,7.369,"Photograph",2500,500,"blue",1250,0,-0.54,0.22,46,2.607,1000,500,0.6,"Erotic","Female","h",5.5,4.5,56.5834,63.7769,7.3921,216160,15.4662,4.3765,"Male","Heterosexual","Relevant"
"S384","Female_023_h",12,6.157,"Photograph",2500,500,"blue",1250,0.71,0.56,0.83,16,3.994,1000,500,0.2,"Erotic","Female","h",4.55,5.85,20.4158,63.53,6.0347,214797,1.8632,7.0814,"Male","Heterosexual","Relevant"
"S384","Male_003_v",13,7.587,"Photograph",2500,500,"blue",1250,0.71,0.62,0.62,14,2.492,1000,500,0,"Erotic","Male","v",5,6.25,46.1739,49.4077,7.4926,228056,3.5967,7.3901,"Male","Heterosexual","Irrelevant"
"S384","Female_002_h",14,7.292,"AI-Generated",2500,500,"green",1250,0.74,0.5,0.75,40,1.677,1000,500,1,"Erotic","Female","h",4.45,5.8,32.6608,57.3367,7.5265,428384,0.1224,13.5464,"Male","Heterosexual","Relevant"
"S384","Male_017_v",15,6.97,"AI-Generated",2500,500,"green",1250,0,0.46,0.24,34,2.876,1000,500,0.1,"Erotic","Male","v",4.7,4.45,31.538,56.3546,7.2051,276400,5.2385,7.6499,"Male","Heterosexual","Irrelevant"
"S384","Male_005_v",16,5.427,"Photograph",2500,500,"blue",1250,0,-0.28,0.72,32,2.065,1000,500,0.1,"Erotic","Male","v",4.4,5.5,19.09,43.8873,6.7516,170084,11.4089,17.2027,"Male","Heterosexual","Irrelevant"
"S384","Faces_160_v",17,6.82,"Photograph",2500,500,"blue",1250,0,0.9,0.57,12,2.955,1000,500,0.16,"Non-erotic","Faces","v",3.45,3.8,43.744,85.794,7.5611,145663,7.3603,10.0906,"Male","Heterosexual","Non-erotic"
"S384","Female_017_v",18,7.003,"AI-Generated",2500,500,"green",1250,0.86,0.66,0.68,53,2.905,1000,500,0.33,"Erotic","Female","v",4.7,5.3,30.0066,71.3798,7.3457,261977,11.5136,10.9459,"Male","Heterosexual","Relevant"
"S384","Male_008_v",19,6.056,"AI-Generated",2500,500,"green",1250,0,0.3,0.66,24,3.435,1000,500,0.49,"Erotic","Male","v",4.7,5.75,49.8422,61.1046,7.609,207491,14.1516,16.1108,"Male","Heterosexual","Irrelevant"
"S384","Female_015_v",20,14.53,"Photograph",2500,500,"blue",1250,0.51,0,0.5,9,2.607,1000,500,1,"Erotic","Female","v",4.05,6.4,65.2389,53.402,7.5418,171124,8.0169,14.7847,"Male","Heterosexual","Relevant"
"S384","People_169_h",21,5.836,"Photograph",2500,500,"blue",1250,0,0.24,0,59,4.55,1000,500,0.71,"Non-erotic","People","h",5.4,7.85,54.9775,81.4202,7.7471,466618,0.3259,3.9071,"Male","Heterosexual","Non-erotic"
"S384","Female_019_h",22,7.884,"AI-Generated",2500,500,"green",1250,0.5,0.96,0.73,15,3.133,1000,500,0.74,"Erotic","Female","h",4.15,5.1,48.6266,36.3153,7.1507,254048,23.4717,33.9492,"Male","Heterosexual","Relevant"
"S384","Male_009_v",23,5.693,"Photograph",2500,500,"blue",1250,0.01,-0.32,0.63,50,2.255,1000,500,0.06,"Erotic","Male","v",4.85,6.15,43.2111,60.8704,7.489,271374,13.4711,15.6762,"Male","Heterosexual","Irrelevant"
"S384","People_176_h",24,7.799,"Photograph",2500,500,"blue",1250,0,1,0,18,2.902,1000,500,1,"Non-erotic","People","h",4.7,7.45,74.0151,69.2438,6.6467,271588,0.256,0.081,"Male","Heterosexual","Non-erotic"
"S384","Male_023_v",25,14.099,"Photograph",2500,500,"blue",1250,0,0.04,0.59,52,2.06,1000,500,0.82,"Erotic","Male","v",5.15,6.6,51.0533,59.4542,7.7168,201176,12.5798,16.3443,"Male","Heterosexual","Irrelevant"
"S384","People_157_h",26,5.789,"Photograph",2500,500,"blue",1250,0,0.32,0,8,3.607,1000,500,1,"Non-erotic","People","h",3.15,5.35,39.5283,67.7615,7.7856,400343,4.2241,5.451,"Male","Heterosexual","Non-erotic"
"S384","Female_012_v",27,4.564,"AI-Generated",2500,500,"green",1250,1,1,1,56,1.909,1000,500,0.79,"Erotic","Female","v",4.15,5.7,57.6698,65.0532,7.8207,207243,4.5309,8.2501,"Male","Heterosexual","Relevant"
"S384","Female_004_v",28,4.847,"AI-Generated",2500,500,"green",1250,1,1,1,20,2.588,1000,500,1,"Erotic","Female","v",3.6,5.85,66.2497,74.0566,6.894,218444,2.2245,-3.4638,"Male","Heterosexual","Relevant"
"S384","Female_006_v",29,9.49,"AI-Generated",2500,500,"green",1250,0.51,1,0.79,22,2.087,1000,500,1,"Erotic","Female","v",3.25,5.1,63.1318,63.865,7.7492,186016,2.4502,14.6292,"Male","Heterosexual","Relevant"
"S384","People_116_h",30,5.958,"AI-Generated",2500,500,"green",1250,0,0.24,0,25,2.843,1000,500,0.23,"Non-erotic","People","h",5.15,7.6,36.0174,75.2758,7.6169,324300,-0.8448,-1.976,"Male","Heterosexual","Non-erotic"
"S384","People_190_h",31,6.855,"AI-Generated",2500,500,"green",1250,0,0.38,0.69,3,2.662,1000,500,1,"Non-erotic","People","h",5.05,7.65,43.0061,55.7373,7.6983,385125,-0.7026,-13.3812,"Male","Heterosexual","Non-erotic"
"S384","Female_013_h",32,6.984,"Photograph",2500,500,"blue",1250,0,-0.24,0,45,4.519,1000,500,0.21,"Erotic","Female","h",4.5,5.25,21.5101,68.6277,4.6639,137297,3.4277,3.1779,"Male","Heterosexual","Relevant"
